PICAMD,,,,,,,
Identifier,Property,Value (K),Std,N,Name,Reference,Comment
1,temperature of transition,331.2,1.2,,Evora,https://doi.org/10.1039/C2CE26244D,DSC 10 K min-1
2,temperature of transition,347.9,,,Moreno-Leon,https://doi.org/10.1016/j.molliq.2022.120365,DSC 10 K min-1
