                         mean       stdev      CI_low      CI_upp      weight
Evora                 19.4000      0.4000     18.6160     20.1840      0.4581
Negoro                16.9000      1.4000     14.1561     19.6440      0.1335
Zhabina               19.2000      0.5000     18.2200     20.1800      0.4084
random effect         18.9847      0.5822     17.8436     20.1258      1.0000
