HIQQAB02,,,,,,,
Identifier,Property,Value (K),"		Std"," 	N",   Name,Reference    ,"	              Comment"
1,Melting Point,476.49,,,Pop,Pop_2024_COST_data,30K/Min
2,Melting Point,477.43,,,Pop,Pop_2024_COST_data,30K/Min
3,Melting Point,477.91,,,Pop,Pop_2024_COST_data,40K/Min
4,Melting Point,478.34,,,Pop,Pop_2024_COST_data,40K/Min
