                         mean       stdev      CI_low      CI_upp      weight
Feliciano             93.7980      0.0050     93.7882     93.8078      0.1667
Feliciano             93.6610      0.0030     93.6551     93.6669      0.1667
Feliciano             93.4970      0.0040     93.4892     93.5048      0.1667
Feliciano             93.3280      0.0070     93.3143     93.3417      0.1666
Feliciano             93.1500      0.0020     93.1461     93.1539      0.1667
Feliciano             92.9400      0.0020     92.9361     92.9439      0.1667
random effect         93.3957      0.1310     93.1388     93.6525      1.0000
