                         mean       stdev      CI_low      CI_upp      weight
Feliciano             30.3710      0.0030     30.3651     30.3769      0.1697
Feliciano             30.3680      0.0040     30.3602     30.3758      0.1687
Feliciano             30.3590      0.0090     30.3414     30.3766      0.1604
Feliciano             30.3180      0.0060     30.3062     30.3298      0.1661
Feliciano             30.2790      0.0050     30.2692     30.2888      0.1675
FFeliciano            30.3430      0.0050     30.3332     30.3528      0.1675
random effect         30.3397      0.0146     30.3111     30.3682      1.0000
