                         mean       stdev      CI_low      CI_upp      weight
Feliciano              8.9530      0.0020      8.9491      8.9569      0.1671
Feliciano              8.9760      0.0020      8.9721      8.9799      0.1671
Feliciano              9.0070      0.0040      8.9992      9.0148      0.1667
Feliciano              9.0500      0.0050      9.0402      9.0598      0.1665
Feliciano              9.0980      0.0050      9.0882      9.1078      0.1665
Feliciano              9.1410      0.0060      9.1292      9.1528      0.1661
random effect          9.0374      0.0296      8.9792      9.0955      1.0000
