                         mean       stdev      CI_low      CI_upp      weight
Feliciano              4.9890      0.0030      4.9831      4.9949      0.3064
Feliciano              4.9920      0.0050      4.9822      5.0018      0.1103
Feliciano              4.9930      0.0050      4.9832      5.0028      0.1103
Feliciano              4.9930      0.0070      4.9793      5.0067      0.0563
Feliciano              4.9910      0.0030      4.9851      4.9969      0.3064
Feliciano              4.9890      0.0050      4.9792      4.9988      0.1103
random effect          4.9906      0.0017      4.9874      4.9939      1.0000
