                         mean       stdev      CI_low      CI_upp      weight
Kons                  26.1431      0.4507     25.2598     27.0265      0.5721
Rekis_17              25.1000      0.6000     23.9240     26.2760      0.4279
random effect         25.6968      0.5161     24.6852     26.7083      1.0000
