                         mean       stdev      CI_low      CI_upp      weight
Kons                 389.8691      0.7969    388.3072    391.4309      0.1952
Feliciano            388.3400      0.0900    388.1636    388.5164      0.4038
Feliciano            389.6700      0.1100    389.4544    389.8856      0.4010
random effect        389.1719      0.4867    388.2179    390.1258      1.0000
